Imagepath,Label
../VegetableImages/validation/Bean/0023.jpg,0
../VegetableImages/validation/Bean/0024.jpg,0
../VegetableImages/validation/Bean/0025.jpg,0
../VegetableImages/validation/Bean/0027.jpg,0
../VegetableImages/validation/Bean/0031.jpg,0
../VegetableImages/validation/Bean/0032.jpg,0
../VegetableImages/validation/Bean/0033.jpg,0
../VegetableImages/validation/Bean/0038.jpg,0
../VegetableImages/validation/Bean/0040.jpg,0
../VegetableImages/validation/Bean/0042.jpg,0
../VegetableImages/validation/Bean/0043.jpg,0
../VegetableImages/validation/Bean/0044.jpg,0
../VegetableImages/validation/Bean/0046.jpg,0
../VegetableImages/validation/Bean/0048.jpg,0
../VegetableImages/validation/Bean/0049.jpg,0
../VegetableImages/validation/Bean/0050.jpg,0
../VegetableImages/validation/Bean/0051.jpg,0
../VegetableImages/validation/Bean/0052.jpg,0
../VegetableImages/validation/Bean/0053.jpg,0
../VegetableImages/validation/Bean/0056.jpg,0
../VegetableImages/validation/Bean/0057.jpg,0
../VegetableImages/validation/Bean/0059.jpg,0
../VegetableImages/validation/Bean/0060.jpg,0
../VegetableImages/validation/Bean/0062.jpg,0
../VegetableImages/validation/Bean/0163.jpg,0
../VegetableImages/validation/Bean/0164.jpg,0
../VegetableImages/validation/Bean/0165.jpg,0
../VegetableImages/validation/Bean/0166.jpg,0
../VegetableImages/validation/Bean/0167.jpg,0
../VegetableImages/validation/Bean/0168.jpg,0
../VegetableImages/validation/Bean/0169.jpg,0
../VegetableImages/validation/Bean/0170.jpg,0
../VegetableImages/validation/Bean/0171.jpg,0
../VegetableImages/validation/Bean/0172.jpg,0
../VegetableImages/validation/Bean/0173.jpg,0
../VegetableImages/validation/Bean/0174.jpg,0
../VegetableImages/validation/Bean/0175.jpg,0
../VegetableImages/validation/Bean/0177.jpg,0
../VegetableImages/validation/Bean/0180.jpg,0
../VegetableImages/validation/Bean/0182.jpg,0
../VegetableImages/validation/Bean/0183.jpg,0
